Date,Location,Total Number Particpants,Total Number of Boats,Average Time Spent Fishing,Tournament Duration,Fish Type,Fish name,Sex,Boarded,Bycatch,Lenght (mm),Weight (Kg),Distance to coast,Zone
April-9-11,Asoc. Pescadores y Dueños de Bote de la Guancha,,,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,23.59,,2
April-9-11,Asoc. Pescadores y Dueños de Bote de la Guancha,,,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,25.4,,2
April-15-00,Ponce Yacht and Fishing Club,30,8,7,1,8835290101,Dolphinfish,F,TRUE,FALSE,1370,17.27,,2
April-16-05,Club Náutico de La Parguera,188,47,10.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1370,22.72,,4
April-23-05,Ponce Yacht and Fishing Club,108,27,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1370,24.09,,2
April-5-2014,Asoc. Pescadores y Dueños de Bote de la Guancha,80,21,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1370,21.2,18-24 mi off Ponce,2
April-8-00,"Club Pesca Deportiva de Ponce, El Tuque",80,20,8,2,8835290101,Dolphinfish,U,TRUE,FALSE,1365,22.27,,2
May-6-00,Club Náutico de Guayama,101,22,7,2,8835290101,Dolphinfish,F,TRUE,FALSE,1365,16.36,,2
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1360,18.18,,2
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1360,10.9,,2
March-31-01,"Club Pesca Deportiva de Ponce, El Tuque",66,19,9,2,8835290101,Dolphinfish,M,TRUE,FALSE,1360,22.72,,2
March-16-02,Ponce Yacht and Fishing Club,80,20,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1360,20.45,39 mi off Ponce,2
April-15-00,Ponce Yacht and Fishing Club,30,8,7,1,8835290101,Dolphinfish,M,TRUE,FALSE,1360,19.54,,2
April-1-06,Ponce Yacht and Fishing Club,116,29,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1360,13.6,,2
Feb-02-2013,Cangrejos Yacht Club,116,29,,2,8835290101,Dolphinfish,M,FALSE,FALSE,1358,24.04,,1
April-01-2017,Ponce Yacht and Fishing Club,199,50,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1358,21.8,,2
March-8-2014,Ponce Yacht and Fishing Club,99,26,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1352,22.68,25 mi off Ponce,2
March-26-2022,Ponce Yacht and Fishing Club,165,42,,2,8835290101,Dolphinfish,F,TRUE,FALSE,1352,25.22,,2
May-19-2013,Club Náutico de La Parguera,68,17,8,2,8835290101,Dolphinfish,M,TRUE,TRUE,1352,24.95,,2
Feb-8-03,Club Náutico de La Parguera,116,29,8,1,8835290101,Dolphinfish,F,TRUE,FALSE,1350,17.72,17 mi Faro Cabo Rojo,2
March-31-01,"Club Pesca Deportiva de Ponce, El Tuque",66,19,9,2,8835290101,Dolphinfish,M,TRUE,FALSE,1350,18.63,,2
April-25-04,Asoc. Pescadores y Dueños de Bote de la Guancha,240,48,8.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1350,20.45,,2
Oct-13-01,Marina Puerto del Rey,60,15,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1350,18.18,,3
Nov-9-2013,Club Náutico de Guayama,220,55,7,2,8835290101,Dolphinfish,U,TRUE,TRUE,1348,17.2,,3
Jan-14-2012,Asoc. Pescadores Bo.  Jarealito,66,23,5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,21.81,,1
Feb-3-07,Club Deportivo del Oeste,88,22,8,1,8835290101,Dolphinfish,F,TRUE,FALSE,1346,21.77,,4
Feb-8-2014,Club Deportivo del Oeste,148,37,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,21.23,,4
Feb-28-2015,Club Deportivo del Oeste,100,25,6,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,23.86,,4
March-14-08,Ponce Yacht and Fishing Club,80,20,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,27.3,,2
March-14-08,Ponce Yacht and Fishing Club,80,20,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,25.94,,2
March-14-08,Ponce Yacht and Fishing Club,80,20,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,25.4,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1346,17.69,,2
March-14-09,Club Náutico de La Parguera,160,40,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,21.77,,2
March-6-10,Club Náutico de La Parguera,172,43,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,19.95,,3
March-6-10,Club Náutico de La Parguera,172,43,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,16.78,,3
March-6-10,Club Náutico de La Parguera,172,43,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1346,23.13,,3
March-13-10,Club Náutico de Boquerón,140,35,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,21.77,,4
March-1-2014,Club Náutico de Boquerón,180,45,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,16.15,,4
March-5-2016,Club Náutico de Boquerón,168,42,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,20.32,,4
March-26-2019,Club Deportivo del Oeste,124,31,6.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,19.05,,4
March-19-2022,Club Nautico de la  Parguera,136,35,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,16.23,,2
April-5-08,Club Náutico de Boquerón,136,34,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,29.02,,4
April-5-08,Club Náutico de Boquerón,136,34,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,25.4,,4
April-12-08,Asoc. Pescadores y Dueños de Bote de la Guancha,140,35,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,21.77,,2
April-13-2013,Asoc. Pescadores y Dueños de Bote de la Guancha,92,23,6,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,20.41,,2
April-20-2013,Club Náutico de La Parguera,172,43,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1346,16.33,,2
April-18-2015,Club Náutico de La Parguera,92,23,7,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,19.5,,2
April-7-2018,Club Náutico de Boquerón,208,52,7.5,1,8835290101,Dolphinfish,F,TRUE,FALSE,1346,19.95,,4
April-27-2019,Club Náutico de Boquerón,260,65,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,24.08,,4
May-17-2014,Club Náutico de La Parguera,92,23,6,1,8835290101,Dolphinfish,M,TRUE,FALSE,1346,19.05,,2
May -13-2022,Club Nautico de Parguera,,,,2,8835290101,Dolphinfish,M,TRUE,FALSE,1346,22.67,7 mi off Lajas,2
March-24-2012,Ponce Yacht and Fishing Club,104,26,6.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1345,18.14,,2
June-08-2019,San Juan Bay Marina,64,16,6,2,8835290101,Dolphinfish,M,TRUE,FALSE,1342,17.91,8 mi off San juan,1
Jan-19-08,Cangrejos Yacht Club,80,20,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1341,25.85,,1
Feb-2-08,Club Deportivo del Oeste,72,18,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1341,24.04,,4
March-10-2018,Club Náutico de La Parguera,212,53,7,2,8835290101,Dolphinfish,M,TRUE,FALSE,1341,20.87,,3
March-25-01,Vista Bahia Rest.-Popa Marina,135,38,9,1,8835290101,Dolphinfish,M,TRUE,FALSE,1340,16.81,,4
March-29-03,Ponce Yacht and Fishing Club,100,25,9,1,8835290101,Dolphinfish,F,TRUE,FALSE,1340,21.36,20 mi off Ponce,2
March-20-04,Ponce Yacht and Fishing Club,128,32,8.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1340,23.63,,2
March-27-04,Club Náutico de La Parguera,200,50,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1340,23.63,,2
April-8-00,"Club Pesca Deportiva de Ponce, El Tuque",80,20,8,2,8835290101,Dolphinfish,U,TRUE,FALSE,1340,20.45,,2
April-16-05,Club Náutico de La Parguera,188,47,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1340,14.54,,4
Sept-26-2012,Club Náutico de San Juan,150,41,8,3,8835290101,Dolphinfish,M,TRUE,TRUE,1339,19,,1
Jan-14-2012,Cangrejos Yacht Club,119,31,,2,8835290101,Dolphinfish,M,TRUE,FALSE,1338,22.68,18 mi off Fajardo,1
April-01-2017,Ponce Yacht and Fishing Club,199,50,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1338,20.4,,2
March-26-2022,Ponce Yacht and Fishing Club,165,42,,2,8835290101,Dolphinfish,M,TRUE,FALSE,1334,22.09,,2
March-14-09,Club Náutico de La Parguera,160,40,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1333,19.05,,2
Feb-21-04,Club Deportivo del Oeste,104,26,8,1,8835290101,Dolphinfish,U,TRUE,FALSE,1330,15.9,,4
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1330,18.18,,2
March-22-03,Marina Puerto del Rey,100,25,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1330,24.09,S Vieques,3
April-8-00,"Club Pesca Deportiva de Ponce, El Tuque",80,20,8,2,8835290101,Dolphinfish,U,TRUE,FALSE,1330,19.54,,2
April-5-03,Club Náutico de La Parguera,156,39,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1330,21.81,4-5 mi off Lajas,2
April-16-05,Club Náutico de La Parguera,188,47,10.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1330,24.09,20 mi off Guanica,4
April-6-2019,Ponce Yacht and Fishing Club,164,41,8,2,8835290101,Dolphinfish,M,FALSE,FALSE,1330,12.7,17 mi off Ponce,2
Feb-26-2017,Asociacion De Pesca Deportiva de Dorado,40,10,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1327,17.3,,1
June-08-2019,San Juan Bay Marina,64,16,6,2,8835290101,Dolphinfish,M,TRUE,FALSE,1326,17.46,8  mi off San Juan,1
Feb-2-08,Club Deportivo del Oeste,72,18,8,1,8835290101,Dolphinfish,F,TRUE,FALSE,1325,17,,4
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1325,7.27,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1325,15.45,,2
Jan-19-08,Cangrejos Yacht Club,80,20,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,25.85,,1
Feb-3-07,Club Deportivo del Oeste,88,22,8,1,8835290101,Dolphinfish,F,TRUE,FALSE,1320,17,,4
Feb-9-08,Club Náutico de San Juan,160,32,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,19.05,,1
Feb-23-2013,Club Deportivo del Oeste,136,34,7.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,15.69,15 mi off Lajas,4
Feb-23-2013,Club Deportivo del Oeste,136,34,7.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,20.5,,4
Feb-8-2014,Club Deportivo del Oeste,148,37,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,21.68,,4
Feb-28-2015,Club Deportivo del Oeste,100,25,6,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,19.41,,4
Feb-27-2016,Club Deportivo del Oeste,136,34,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,17.69,,4
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,20,,2
March-27-04,Club Náutico de La Parguera,200,50,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,17.72,,2
March-19-05,Club Náutico de La Parguera,200,50,8,1,8835290101,Dolphinfish,U,TRUE,FALSE,1320,14.54,,2
March-31-07,Club Náutico de La Parguera,136,34,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,19.95,,2
March-31-07,Club Náutico de La Parguera,136,34,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,21.31,,2
March-14-08,Ponce Yacht and Fishing Club,80,20,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,12.97,,2
March-14-08,Ponce Yacht and Fishing Club,80,20,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,21.36,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,30.39,,2
March-6-10,Club Náutico de La Parguera,172,43,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,20.86,,3
March-20-10,Ponce Yacht and Fishing Club,112,28,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,20.41,,2
March-12-11,Ponce Yacht and Fishing Club,140,39,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,17.24,,2
March-04-2017,Club Náutico de La Parguera,128,32,7.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,23.13,16 mi off Parguera,2
March-17-2017,Club Deportivo del Oeste,164,41,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,20.5,,4
April-5-03,Club Náutico de La Parguera,156,39,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,15.9,20 mi off Parguera,2
April-9-11,Asoc. Pescadores y Dueños de Bote de la Guancha,,,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,21.77,,2
April-13-2013,Asoc. Pescadores y Dueños de Bote de la Guancha,92,23,6,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,16.33,,2
April-20-2013,Club Náutico de La Parguera,172,43,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1320,23.59,,2
April-20-2013,Club Náutico de La Parguera,172,43,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1320,6.8,,2
April-5-2014,Asoc. Pescadores y Dueños de Bote de la Guancha,80,21,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,20.87,18-24 mi off Ponce,2
April-7-2018,Club Náutico de Boquerón,208,52,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,21.77,,4
April-6-2019,Ponce Yacht and Fishing Club,164,41,8,2,8835290101,Dolphinfish,M,FALSE,FALSE,1320,20.88,25 mi off Ponce,2
April-21-84,Club Náutico de La Parguera,0,0,0,1,8835290101,Dolphinfish,M,TRUE,FALSE,1320,19.54,,2
Sept-28-85,San Juan Fishing Center and Marina,,,,2,8835290101,Dolphinfish,M,TRUE,TRUE,1320,23.18,Off Cangrejos,1
Oct-29-05,Club Náutico de Mayaguez-Locos Adams,152,38,,2,8835290101,Dolphinfish,M,TRUE,TRUE,1320,20,,0
March-24-2012,Ponce Yacht and Fishing Club,104,26,6.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1315,19.5,,2
March-24-2012,Ponce Yacht and Fishing Club,104,26,6.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1314,14.05,,2
Nov-10-2012,Cangrejos Yacht Club,43,12,8,2,8835290101,Dolphinfish,U,TRUE,TRUE,1314,21,2mi off Carolina,1
Jan-13-07,Cangrejos Yacht Club,156,39,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1310,18.14,4 mi off CYC,1
Feb-8-03,Club Náutico de La Parguera,116,29,8,1,8835290101,Dolphinfish,F,TRUE,FALSE,1310,15,,2
Feb-22-03,Cangrejos Yacht Club,144,36,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1310,20.9,,1
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1310,18.18,,2
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1310,7.72,,2
March-22-03,Marina Puerto del Rey,100,25,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1310,20,16 mi off Puerto del Rey,3
